job_title,avg_salary,max_salary,min_salary,amount_salaries
back end,$4.000.000,$5.245.000,$2.500.000,Basado en 110 salarios
front end,$3.500.000,$5.500.000,$2.000.000,Basado en 194 salarios
analista de datos,$1.989.552,$3.500.000,$1.399.565,Basado en 1163 salarios
analista de sistemas,$2.000.000,$3.500.000,$1.400.000,Basado en 655 salarios
